label,n,iter,sec
dgemm_simd,64,17,0.000029000
dgemm_simd,64,18,0.000028000
dgemm_simd,64,19,0.000028000
dgemm_simd,128,0,0.000384000
dgemm_simd,128,1,0.000316000
dgemm_simd,128,2,0.000316000
dgemm_simd,128,3,0.000317000
dgemm_simd,128,4,0.000290000
dgemm_simd,128,5,0.000268000
dgemm_simd,128,6,0.000291000
dgemm_simd,128,7,0.000286000
dgemm_simd,128,8,0.000268000
dgemm_simd,128,9,0.000285000
dgemm_simd,128,10,0.000299000
dgemm_simd,128,11,0.000294000
dgemm_simd,128,12,0.000310000
dgemm_simd,128,13,0.000315000
dgemm_simd,128,14,0.000285000
dgemm_simd,128,15,0.000294000
dgemm_simd,128,16,0.000286000
dgemm_simd,128,17,0.000286000
dgemm_simd,128,18,0.000285000
dgemm_simd,128,19,0.000287000
dgemm_simd,256,0,0.003650000
dgemm_simd,256,1,0.003325000
dgemm_simd,256,2,0.003230000
dgemm_simd,256,3,0.003223000
dgemm_simd,256,4,0.003175000
dgemm_simd,256,5,0.003216000
dgemm_simd,256,6,0.003321000
dgemm_simd,256,7,0.003354000
dgemm_simd,256,8,0.003241000
dgemm_simd,256,9,0.003074000
dgemm_simd,256,10,0.003185000
dgemm_simd,256,11,0.003210000
dgemm_simd,256,12,0.003119000
dgemm_simd,256,13,0.003042000
dgemm_simd,256,14,0.003119000
dgemm_simd,256,15,0.003014000
dgemm_simd,256,16,0.003077000
dgemm_simd,256,17,0.003065000
dgemm_simd,256,18,0.003050000
dgemm_simd,256,19,0.003234000
dgemm_simd,512,0,0.053662000
dgemm_simd,512,1,0.049132000
dgemm_simd,512,2,0.048502000
dgemm_simd,512,3,0.058465000
dgemm_simd,512,4,0.063732000
dgemm_simd,512,5,0.063502000
dgemm_simd,512,6,0.047646000
dgemm_simd,512,7,0.047813000
dgemm_simd,512,8,0.047861000
dgemm_simd,512,9,0.048569000
dgemm_simd,512,10,0.050061000
dgemm_simd,512,11,0.049177000
dgemm_simd,512,12,0.048928000
dgemm_simd,512,13,0.048024000
dgemm_simd,512,14,0.048657000
dgemm_simd,512,15,0.048977000
dgemm_simd,512,16,0.049021000
dgemm_simd,512,17,0.047401000
dgemm_simd,512,18,0.048436000
dgemm_simd,512,19,0.048637000
dgemm_simd,1024,0,0.433681000
dgemm_simd,1024,1,0.431913000
dgemm_simd,1024,2,0.432482000
dgemm_simd,1024,3,0.434852000
dgemm_simd,1024,4,0.435279000
dgemm_simd,1024,5,0.439112000
dgemm_simd,1024,6,0.434088000
dgemm_simd,1024,7,0.432425000
dgemm_simd,1024,8,0.445586000
dgemm_simd,1024,9,0.442795000
dgemm_simd,1024,10,0.447977000
dgemm_simd,1024,11,0.437537000
dgemm_simd,1024,12,0.444731000
dgemm_simd,1024,13,0.445930000
dgemm_simd,1024,14,0.491091000
dgemm_simd,1024,15,0.446000000
dgemm_simd,1024,16,0.454349000
dgemm_simd,1024,17,0.448130000
dgemm_simd,1024,18,0.452343000
dgemm_simd,1024,19,0.447466000
